iata_code,name,latitude_deg,longitude_deg,home_link
HAM,Hamburg Airport,53.630401611328,9.9882297515869,https://www.hamburg-airport.de/en/
CGN,Cologne Bonn Airport,50.8658981323,7.1427397728,http://www.koeln-bonn-airport.de/en/
DUS,Düsseldorf Airport,51.289501,6.76678,http://www.dus.com/dus_en/
MUC,Munich Airport,48.353802,11.7861,http://www.munich-airport.com/
NUE,Nuremberg Airport,49.498699,11.078056,https://www.airport-nuernberg.de/english
LEJ,Leipzig/Halle Airport,51.423889,12.236389,http://www.leipzig-halle-airport.de/en/index.html
SCN,Saarbrücken Airport,49.2145996094,7.10950994492,http://www.flughafen-saarbruecken.de/
STR,Stuttgart Airport,48.6898994446,9.22196006775,http://www.flughafen-stuttgart.de/
TXL,Berlin-Tegel Airport,52.5597,13.2877,http://www.berlin-airport.de/en/travellers-txl/index.php
HAJ,Hannover Airport,52.461101532,9.68507957458,
BRE,Bremen Airport,53.0475006104,8.78666973114,
HHN,Frankfurt-Hahn Airport,49.9487,7.26389,
MHG,Mannheim-City Airport,49.473057,8.514167,http://www.flugplatz-mannheim.de/
KEL,Kiel-Holtenau Airport,54.3794441223145,10.1452779769897,
LBC,Lübeck Blankensee Airport,53.8054008484,10.7192001343,
FMM,Memmingen Allgau Airport,47.9888000488,10.2395000458,
PAD,Paderborn Lippstadt Airport,51.6141014099,8.61631965637,
NRN,Weeze Airport,51.6024017334,6.14216995239,http://www.airport-weeze.de/de
DTM,Dortmund Airport,51.5182991028,7.61223983765,
AGB,Augsburg Airport,48.425278,10.931667,
FDH,Friedrichshafen Airport,47.6712989807,9.51148986816,
HOQ,Hof-Plauen Airport,50.2886123657227,11.8563890457153,
FKB,Karlsruhe Baden-Baden Airport,48.7793998718,8.08049964905,http://www.baden-airpark.de/startseite.html
BWE,Braunschweig-Wolfsburg Airport,52.319199,10.5561,http://www.flughafen-braunschweig-wolfsburg.de/
KSF,Kassel-Calden Airport,51.417273,9.384967,http://www.flughafenkassel.de/
GWT,Westerland Sylt Airport,54.9132003784,8.34047031403,
KDL,Kärdla Airport,58.9907989501953,22.8306999206543,
URE,Kuressaare Airport,58.2299003601074,22.50950050354,http://www.eeke.ee/
EPU,Pärnu Airport,58.4189987182617,24.4727993011475,
TLL,Lennart Meri Tallinn Airport,59.4132995605,24.8327999115,http://www.tallinn-airport.ee/eng
TAY,Tartu Airport,58.3074989319,26.6903991699,
ENF,Enontekio Airport,68.362602233887,23.424299240112,http://www.finavia.fi/en/enontekio/
HEL,Helsinki Vantaa Airport,60.317199707031,24.963300704956,http://www.finavia.fi/en/helsinki-airport
IVL,Ivalo Airport,68.607299804688,27.405300140381,http://www.finavia.fi/en/ivalo/
JOE,Joensuu Airport,62.662899017334,29.607500076294,http://www.finavia.fi/en/joensuu/
JYV,Jyvaskyla Airport,62.399501800537,25.678300857544,https://www.finavia.fi/en/jyvaskyla/
KEM,Kemi-Tornio Airport,65.778701782227,24.582099914551,http://www.finavia.fi/en/kemi-tornio/
KAJ,Kajaani Airport,64.285499572754,27.692399978638,https://www.finavia.fi/en/kajaani/
